Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@albertoide9,@albertoide9,1,157,11,0.246168,0.266,0
@albertomed9105,@albertomed9105,1,139,10,0.245122,0.270518,0
@albertr1978,@albertr1978,1,139,12,0.209464,0.221646,0
@alcidesclavijo,@alcidesclavijo,1,139,10,0.245122,0.270518,0
@alcy_mendoza,@alcy_mendoza,1,8,10,0.236657,0.25105,0
@aldoonetto,@aldoonetto,2,171,10,0.224969,0.239296,0.000029
@ale23013,@ale23013,4,8,10,0.260769,0.288101,0.000112
@aldunatefran,@aldunatefran,2,8,11,0.217271,0.232649,0
@ale_besoain,@ale_besoain,2,0,11,0.251576,0.274491,0.000229
@ale_loyola,@ale_loyola,1,157,11,0.235883,0.248355,0
@ale_ortega96,@ale_ortega96,2,157,10,0.248467,0.273547,0.000164
@aleazul,@aleazul,1,157,11,0.246168,0.266,0
@alebritishgirl,@alebritishgirl,3,157,11,0.248396,0.2699,0.000034
@alecartesi,@alecartesi,1,157,11,0.229608,0.240715,0
@alecespedesm,@alecespedesm,2,157,11,0.246637,0.26689,0.000108
@aleckeith,@aleckeith,1,0,11,0.216365,0.228595,0
@alegomezbeck,@alegomezbeck,1,5,12,0.225105,0.2441,0
@alehlatam,@alehlatam,1,15,1,1,1,0
@ezerid,@ezerid,1,15,1,1,1,0
@aleidamaita,@aleidamaita,1,16,2,0.666667,0.75,0
@epmanolo,@epmanolo,2,16,1,1,1,0
@alejado33,@alejado33,1,5,12,0.207645,0.219181,0
@ommm5555,@ommm5555,20,5,11,0.262047,0.286078,0.003002
@alejand81158101,@alejand81158101,3,0,11,0.251967,0.275266,0.001254
@cronopioaustral,@cronopioaustral,14,0,12,0.212458,0.227875,0.002327
@alejandc_u,@alejandc_u,1,139,10,0.235786,0.250448,0
@alejandro5247,@alejandro5247,7,8,10,0.249819,0.268843,0.00064
@Plandemic3Movie,@Plandemic3Movie,1,8,11,0.199892,0.208793,0
@ale5247,@ale5247,1,8,11,0.199892,0.208793,0
@alejandroazul7,@alejandroazul7,1,139,10,0.245122,0.270518,0
@alejandrojulin6,@alejandrojulin6,2,193,12,0.226481,0.246061,0.000285
@RobertKennedyJr,@RobertKennedyJr,17,193,11,0.241381,0.263431,0.008126
@alejandromarina,@alejandromarina,1,0,11,0.224201,0.238157,0
@alejandropujac,@alejandropujac,2,17,1,1,1,0
@AlejandroPujaC,@AlejandroPujaC,1,17,2,0.666667,0.75,0
@StudioCiudadano,@StudioCiudadano,1,17,2,0.666667,0.75,0
@alejandrosig,@alejandrosig,1,0,11,0.217289,0.227714,0
@alejotco,@alejotco,1,8,12,0.222565,0.235155,0
@alelaunion,@alelaunion,2,5,12,0.229741,0.250516,0.000014
@alelmor,@alelmor,1,5,12,0.225105,0.2441,0
@alemoreno1967,@alemoreno1967,4,139,10,0.254738,0.282932,0.00024
@fundacion_gaba,@fundacion_gaba,8,139,11,0.259673,0.281353,0.000948
